,,,
Source: A&E Datamart,,,
Data from: 1st Janury 2015 - 31st December 2016,,,
Data extracted: 15th November 2017,,,
,,,
Arrival Date,Treatment NHS Board Description - as at date of episode,Treatment Location Name,Number Of Attendances
31-Jan-2015,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,40
31-Jan-2015,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,234
31-Jan-2015,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,76
31-Jan-2015,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,190
31-Jan-2015,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,102
31-Jan-2015,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,178
31-Jan-2015,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,118
31-Jan-2015,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,40
31-Jan-2015,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,31
31-Jan-2015,NHS GREATER GLASGOW & CLYDE,WEST GLASGOW,161
31-Jan-2015,NHS HIGHLAND,BELFORD HOSPITAL,28
31-Jan-2015,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,16
31-Jan-2015,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,12
31-Jan-2015,NHS HIGHLAND,RAIGMORE HOSPITAL,70
31-Jan-2015,NHS LANARKSHIRE,HAIRMYRES HOSPITAL,135
31-Jan-2015,NHS LANARKSHIRE,MONKLANDS DISTRICT GENERAL HOSPITAL,170
31-Jan-2015,NHS LANARKSHIRE,WISHAW GENERAL HOSPITAL,145
31-Jan-2015,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),113
31-Jan-2015,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,327
31-Jan-2015,NHS LOTHIAN,ST JOHN'S HOSPITAL,120
31-Jan-2015,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,89
31-Jan-2015,NHS ORKNEY,BALFOUR HOSPITAL,5
31-Jan-2015,NHS SHETLAND,GILBERT BAIN HOSPITAL,24
31-Jan-2015,NHS TAYSIDE,ARBROATH INFIRMARY,57
31-Jan-2015,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,1
31-Jan-2015,NHS TAYSIDE,BRECHIN INFIRMARY,22
31-Jan-2015,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,11
31-Jan-2015,NHS TAYSIDE,LINKS HEALTH CENTRE,15
31-Jan-2015,NHS TAYSIDE,NINEWELLS HOSPITAL,122
31-Jan-2015,NHS TAYSIDE,PERTH ROYAL INFIRMARY,66
31-Jan-2015,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,4
31-Jan-2015,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,36
31-Jan-2015,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,15
01-Feb-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,101
01-Feb-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,185
01-Feb-2015,NHS BORDERS,BORDERS GENERAL HOSPITAL,70
01-Feb-2015,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,99
01-Feb-2015,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,30
01-Feb-2015,NHS FIFE,QUEEN MARGARET HOSPITAL,43
01-Feb-2015,NHS FIFE,VICTORIA HOSPITAL,191
01-Feb-2015,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,190
01-Feb-2015,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,33
01-Feb-2015,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,179
01-Feb-2015,NHS GRAMPIAN,DR GRAY'S HOSPITAL,82
01-Feb-2015,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,45
01-Feb-2015,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,199
01-Feb-2015,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,76
01-Feb-2015,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,157
01-Feb-2015,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,121
01-Feb-2015,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,164
01-Feb-2015,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,106
01-Feb-2015,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,30
01-Feb-2015,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,26
01-Feb-2015,NHS GREATER GLASGOW & CLYDE,WEST GLASGOW,114
01-Feb-2015,NHS HIGHLAND,BELFORD HOSPITAL,19
01-Feb-2015,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,17
01-Feb-2015,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,19
01-Feb-2015,NHS HIGHLAND,RAIGMORE HOSPITAL,79
01-Feb-2015,NHS LANARKSHIRE,HAIRMYRES HOSPITAL,168
01-Feb-2015,NHS LANARKSHIRE,MONKLANDS DISTRICT GENERAL HOSPITAL,175
01-Feb-2015,NHS LANARKSHIRE,WISHAW GENERAL HOSPITAL,177
01-Feb-2015,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),116
01-Feb-2015,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,344
01-Feb-2015,NHS LOTHIAN,ST JOHN'S HOSPITAL,170
01-Feb-2015,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,82
01-Feb-2015,NHS ORKNEY,BALFOUR HOSPITAL,16
01-Feb-2015,NHS SHETLAND,GILBERT BAIN HOSPITAL,19
01-Feb-2015,NHS TAYSIDE,ARBROATH INFIRMARY,48
01-Feb-2015,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,13
01-Feb-2015,NHS TAYSIDE,BRECHIN INFIRMARY,12
01-Feb-2015,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,8
01-Feb-2015,NHS TAYSIDE,LINKS HEALTH CENTRE,23
01-Feb-2015,NHS TAYSIDE,NINEWELLS HOSPITAL,142
01-Feb-2015,NHS TAYSIDE,PERTH ROYAL INFIRMARY,64
01-Feb-2015,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,4
01-Feb-2015,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,35
01-Feb-2015,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,10
02-Feb-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,128
02-Feb-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,213
02-Feb-2015,NHS BORDERS,BORDERS GENERAL HOSPITAL,86
02-Feb-2015,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,113
02-Feb-2015,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,41
02-Feb-2015,NHS FIFE,QUEEN MARGARET HOSPITAL,58
02-Feb-2015,NHS FIFE,VICTORIA HOSPITAL,183
02-Feb-2015,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,195
02-Feb-2015,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,53
02-Feb-2015,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,143
02-Feb-2015,NHS GRAMPIAN,DR GRAY'S HOSPITAL,74
02-Feb-2015,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,46
02-Feb-2015,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,249
02-Feb-2015,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,105
02-Feb-2015,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,273
02-Feb-2015,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,160
02-Feb-2015,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,206
02-Feb-2015,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,159
02-Feb-2015,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,56
02-Feb-2015,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,56
02-Feb-2015,NHS GREATER GLASGOW & CLYDE,WEST GLASGOW,199
02-Feb-2015,NHS HIGHLAND,BELFORD HOSPITAL,22
02-Feb-2015,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,18
02-Feb-2015,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,14
02-Feb-2015,NHS HIGHLAND,RAIGMORE HOSPITAL,84
02-Feb-2015,NHS LANARKSHIRE,HAIRMYRES HOSPITAL,202
02-Feb-2015,NHS LANARKSHIRE,MONKLANDS DISTRICT GENERAL HOSPITAL,213
02-Feb-2015,NHS LANARKSHIRE,WISHAW GENERAL HOSPITAL,222
02-Feb-2015,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),136
02-Feb-2015,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,347
02-Feb-2015,NHS LOTHIAN,ST JOHN'S HOSPITAL,173
02-Feb-2015,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,145
02-Feb-2015,NHS ORKNEY,BALFOUR HOSPITAL,7
02-Feb-2015,NHS SHETLAND,GILBERT BAIN HOSPITAL,22
02-Feb-2015,NHS TAYSIDE,ABERFELDY COTTAGE HOSPITAL,1
02-Feb-2015,NHS TAYSIDE,ARBROATH INFIRMARY,41
02-Feb-2015,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,12
02-Feb-2015,NHS TAYSIDE,BRECHIN INFIRMARY,10
02-Feb-2015,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,1
02-Feb-2015,NHS TAYSIDE,LINKS HEALTH CENTRE,13
02-Feb-2015,NHS TAYSIDE,NINEWELLS HOSPITAL,134
02-Feb-2015,NHS TAYSIDE,PERTH ROYAL INFIRMARY,65
02-Feb-2015,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,3
02-Feb-2015,NHS TAYSIDE,ST MARGARET'S HOSPITAL,2
02-Feb-2015,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,18
02-Feb-2015,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,23
03-Feb-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,110
03-Feb-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,203
03-Feb-2015,NHS BORDERS,BORDERS GENERAL HOSPITAL,66
03-Feb-2015,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,80
03-Feb-2015,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,34
03-Feb-2015,NHS FIFE,QUEEN MARGARET HOSPITAL,51
03-Feb-2015,NHS FIFE,VICTORIA HOSPITAL,155
03-Feb-2015,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,162
03-Feb-2015,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,40
03-Feb-2015,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,149
03-Feb-2015,NHS GRAMPIAN,DR GRAY'S HOSPITAL,60
03-Feb-2015,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,41
03-Feb-2015,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,253
03-Feb-2015,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,95
03-Feb-2015,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,256
03-Feb-2015,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,143
03-Feb-2015,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,176
03-Feb-2015,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,130
03-Feb-2015,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,57
03-Feb-2015,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,40
03-Feb-2015,NHS GREATER GLASGOW & CLYDE,WEST GLASGOW,157
03-Feb-2015,NHS HIGHLAND,BELFORD HOSPITAL,30
03-Feb-2015,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,21
03-Feb-2015,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,21
03-Feb-2015,NHS HIGHLAND,RAIGMORE HOSPITAL,62
03-Feb-2015,NHS LANARKSHIRE,HAIRMYRES HOSPITAL,144
03-Feb-2015,NHS LANARKSHIRE,MONKLANDS DISTRICT GENERAL HOSPITAL,213
03-Feb-2015,NHS LANARKSHIRE,WISHAW GENERAL HOSPITAL,189
03-Feb-2015,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),106
03-Feb-2015,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,321
03-Feb-2015,NHS LOTHIAN,ST JOHN'S HOSPITAL,122
03-Feb-2015,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,130
03-Feb-2015,NHS ORKNEY,BALFOUR HOSPITAL,16
03-Feb-2015,NHS SHETLAND,GILBERT BAIN HOSPITAL,12
03-Feb-2015,NHS TAYSIDE,ABERFELDY COTTAGE HOSPITAL,1
03-Feb-2015,NHS TAYSIDE,ARBROATH INFIRMARY,21
03-Feb-2015,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,7
03-Feb-2015,NHS TAYSIDE,BRECHIN INFIRMARY,3
03-Feb-2015,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,2
03-Feb-2015,NHS TAYSIDE,LINKS HEALTH CENTRE,8
03-Feb-2015,NHS TAYSIDE,NINEWELLS HOSPITAL,113
03-Feb-2015,NHS TAYSIDE,PERTH ROYAL INFIRMARY,61
03-Feb-2015,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,6
03-Feb-2015,NHS TAYSIDE,ST MARGARET'S HOSPITAL,1
03-Feb-2015,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,16
03-Feb-2015,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,20
04-Feb-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,103
04-Feb-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,187
04-Feb-2015,NHS BORDERS,BORDERS GENERAL HOSPITAL,93
04-Feb-2015,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,91
04-Feb-2015,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,37
04-Feb-2015,NHS FIFE,QUEEN MARGARET HOSPITAL,49
04-Feb-2015,NHS FIFE,VICTORIA HOSPITAL,157
04-Feb-2015,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,157
04-Feb-2015,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,34
04-Feb-2015,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,152
04-Feb-2015,NHS GRAMPIAN,DR GRAY'S HOSPITAL,63
04-Feb-2015,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,44
04-Feb-2015,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,182
04-Feb-2015,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,87
04-Feb-2015,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,216
04-Feb-2015,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,120
04-Feb-2015,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,172
04-Feb-2015,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,127
04-Feb-2015,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,46
04-Feb-2015,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,59
04-Feb-2015,NHS GREATER GLASGOW & CLYDE,WEST GLASGOW,162
04-Feb-2015,NHS HIGHLAND,BELFORD HOSPITAL,17
04-Feb-2015,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,17
04-Feb-2015,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,18
04-Feb-2015,NHS HIGHLAND,RAIGMORE HOSPITAL,60
04-Feb-2015,NHS LANARKSHIRE,HAIRMYRES HOSPITAL,149
04-Feb-2015,NHS LANARKSHIRE,MONKLANDS DISTRICT GENERAL HOSPITAL,185
04-Feb-2015,NHS LANARKSHIRE,WISHAW GENERAL HOSPITAL,192
04-Feb-2015,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),129
04-Feb-2015,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,305
04-Feb-2015,NHS LOTHIAN,ST JOHN'S HOSPITAL,125
04-Feb-2015,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,111
04-Feb-2015,NHS ORKNEY,BALFOUR HOSPITAL,14
04-Feb-2015,NHS SHETLAND,GILBERT BAIN HOSPITAL,18
04-Feb-2015,NHS TAYSIDE,ARBROATH INFIRMARY,19
04-Feb-2015,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,6
04-Feb-2015,NHS TAYSIDE,BRECHIN INFIRMARY,6
04-Feb-2015,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,4
04-Feb-2015,NHS TAYSIDE,LINKS HEALTH CENTRE,17
04-Feb-2015,NHS TAYSIDE,NINEWELLS HOSPITAL,118
04-Feb-2015,NHS TAYSIDE,PERTH ROYAL INFIRMARY,71
04-Feb-2015,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,6
04-Feb-2015,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,17
04-Feb-2015,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,19
05-Feb-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,116
05-Feb-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,209
05-Feb-2015,NHS BORDERS,BORDERS GENERAL HOSPITAL,57
05-Feb-2015,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,76
05-Feb-2015,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,21
05-Feb-2015,NHS FIFE,QUEEN MARGARET HOSPITAL,46
05-Feb-2015,NHS FIFE,VICTORIA HOSPITAL,154
05-Feb-2015,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,146
05-Feb-2015,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,43
05-Feb-2015,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,149
05-Feb-2015,NHS GRAMPIAN,DR GRAY'S HOSPITAL,61
05-Feb-2015,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,57
05-Feb-2015,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,224
05-Feb-2015,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,88
05-Feb-2015,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,212
05-Feb-2015,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,143
05-Feb-2015,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,184
05-Feb-2015,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,140
05-Feb-2015,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,35
05-Feb-2015,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,38
05-Feb-2015,NHS GREATER GLASGOW & CLYDE,WEST GLASGOW,135
05-Feb-2015,NHS HIGHLAND,BELFORD HOSPITAL,14
05-Feb-2015,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,24
05-Feb-2015,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,16
05-Feb-2015,NHS HIGHLAND,RAIGMORE HOSPITAL,74
05-Feb-2015,NHS LANARKSHIRE,HAIRMYRES HOSPITAL,171
05-Feb-2015,NHS LANARKSHIRE,MONKLANDS DISTRICT GENERAL HOSPITAL,184
05-Feb-2015,NHS LANARKSHIRE,WISHAW GENERAL HOSPITAL,160
05-Feb-2015,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),133
05-Feb-2015,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,289
05-Feb-2015,NHS LOTHIAN,ST JOHN'S HOSPITAL,133
05-Feb-2015,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,120
05-Feb-2015,NHS ORKNEY,BALFOUR HOSPITAL,10
05-Feb-2015,NHS SHETLAND,GILBERT BAIN HOSPITAL,19
05-Feb-2015,NHS TAYSIDE,ARBROATH INFIRMARY,27
05-Feb-2015,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,3
05-Feb-2015,NHS TAYSIDE,BRECHIN INFIRMARY,5
05-Feb-2015,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,6
05-Feb-2015,NHS TAYSIDE,LINKS HEALTH CENTRE,8
05-Feb-2015,NHS TAYSIDE,NINEWELLS HOSPITAL,126
05-Feb-2015,NHS TAYSIDE,PERTH ROYAL INFIRMARY,65
05-Feb-2015,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,2
05-Feb-2015,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,12
05-Feb-2015,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,13
06-Feb-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,104
06-Feb-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,176
06-Feb-2015,NHS BORDERS,BORDERS GENERAL HOSPITAL,70
06-Feb-2015,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,83
06-Feb-2015,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,30
06-Feb-2015,NHS FIFE,QUEEN MARGARET HOSPITAL,52
06-Feb-2015,NHS FIFE,VICTORIA HOSPITAL,152
06-Feb-2015,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,138
06-Feb-2015,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,28
06-Feb-2015,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,150
06-Feb-2015,NHS GRAMPIAN,DR GRAY'S HOSPITAL,42
06-Feb-2015,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,50
06-Feb-2015,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,214
06-Feb-2015,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,74
06-Feb-2015,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,221
06-Feb-2015,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,126
06-Feb-2015,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,176
06-Feb-2015,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,117
06-Feb-2015,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,41
06-Feb-2015,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,39
06-Feb-2015,NHS GREATER GLASGOW & CLYDE,WEST GLASGOW,140
06-Feb-2015,NHS HIGHLAND,BELFORD HOSPITAL,19
06-Feb-2015,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,6
06-Feb-2015,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,9
06-Feb-2015,NHS HIGHLAND,RAIGMORE HOSPITAL,69
06-Feb-2015,NHS LANARKSHIRE,HAIRMYRES HOSPITAL,138
06-Feb-2015,NHS LANARKSHIRE,MONKLANDS DISTRICT GENERAL HOSPITAL,169
06-Feb-2015,NHS LANARKSHIRE,WISHAW GENERAL HOSPITAL,162
06-Feb-2015,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),119
06-Feb-2015,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,275
06-Feb-2015,NHS LOTHIAN,ST JOHN'S HOSPITAL,118
06-Feb-2015,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,137
06-Feb-2015,NHS ORKNEY,BALFOUR HOSPITAL,10
06-Feb-2015,NHS SHETLAND,GILBERT BAIN HOSPITAL,22
06-Feb-2015,NHS TAYSIDE,ARBROATH INFIRMARY,27
06-Feb-2015,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,5
06-Feb-2015,NHS TAYSIDE,BRECHIN INFIRMARY,8
06-Feb-2015,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,5
06-Feb-2015,NHS TAYSIDE,LINKS HEALTH CENTRE,10
06-Feb-2015,NHS TAYSIDE,NINEWELLS HOSPITAL,114
06-Feb-2015,NHS TAYSIDE,PERTH ROYAL INFIRMARY,66
06-Feb-2015,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,3
06-Feb-2015,NHS TAYSIDE,ST MARGARET'S HOSPITAL,1
06-Feb-2015,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,12
06-Feb-2015,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,13
07-Feb-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,108
07-Feb-2015,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,161
07-Feb-2015,NHS BORDERS,BORDERS GENERAL HOSPITAL,61
07-Feb-2015,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,84
07-Feb-2015,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,32
07-Feb-2015,NHS FIFE,QUEEN MARGARET HOSPITAL,51
07-Feb-2015,NHS FIFE,VICTORIA HOSPITAL,159
07-Feb-2015,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,161
07-Feb-2015,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,33
