Arrival Date,Treatment NHS Board Description - as at date of episode,Location Name,Number Of Attendances
05-Apr-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL HAIRMYRES,175
05-Apr-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL MONKLANDS ,176
05-Apr-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL WISHAW ,170
05-Apr-17,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),121
05-Apr-17,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,343
05-Apr-17,NHS LOTHIAN,ST JOHN'S HOSPITAL,160
05-Apr-17,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,114
05-Apr-17,NHS ORKNEY,BALFOUR HOSPITAL,26
05-Apr-17,NHS SHETLAND,GILBERT BAIN HOSPITAL,19
05-Apr-17,NHS TAYSIDE,ARBROATH INFIRMARY,44
05-Apr-17,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,6
05-Apr-17,NHS TAYSIDE,BRECHIN INFIRMARY,8
05-Apr-17,NHS TAYSIDE,LINKS HEALTH CENTRE,16
05-Apr-17,NHS TAYSIDE,NINEWELLS HOSPITAL,140
05-Apr-17,NHS TAYSIDE,PERTH ROYAL INFIRMARY,57
05-Apr-17,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,6
05-Apr-17,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,15
05-Apr-17,NHS WESTERN ISLES,UIST & BARRA HOSPITAL,7
05-Apr-17,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,23
06-Apr-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,117
06-Apr-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,169
06-Apr-17,NHS BORDERS,BORDERS GENERAL HOSPITAL,70
06-Apr-17,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,82
06-Apr-17,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,27
06-Apr-17,NHS FIFE,ADAMSON HOSPITAL,8
06-Apr-17,NHS FIFE,QUEEN MARGARET HOSPITAL,46
06-Apr-17,NHS FIFE,VICTORIA HOSPITAL,170
06-Apr-17,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,165
06-Apr-17,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,45
06-Apr-17,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,146
06-Apr-17,NHS GRAMPIAN,DR GRAY'S HOSPITAL,77
06-Apr-17,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,39
06-Apr-17,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,232
06-Apr-17,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,78
06-Apr-17,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,88
06-Apr-17,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,244
06-Apr-17,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,160
06-Apr-17,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,158
06-Apr-17,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,49
06-Apr-17,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,46
06-Apr-17,NHS HIGHLAND,BELFORD HOSPITAL,28
06-Apr-17,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,25
06-Apr-17,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,17
06-Apr-17,NHS HIGHLAND,RAIGMORE HOSPITAL,83
06-Apr-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL HAIRMYRES,169
06-Apr-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL MONKLANDS ,188
06-Apr-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL WISHAW ,170
06-Apr-17,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),131
06-Apr-17,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,296
06-Apr-17,NHS LOTHIAN,ST JOHN'S HOSPITAL,130
06-Apr-17,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,131
06-Apr-17,NHS ORKNEY,BALFOUR HOSPITAL,11
06-Apr-17,NHS SHETLAND,GILBERT BAIN HOSPITAL,13
06-Apr-17,NHS TAYSIDE,ARBROATH INFIRMARY,30
06-Apr-17,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,12
06-Apr-17,NHS TAYSIDE,BRECHIN INFIRMARY,4
06-Apr-17,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,3
06-Apr-17,NHS TAYSIDE,LINKS HEALTH CENTRE,17
06-Apr-17,NHS TAYSIDE,NINEWELLS HOSPITAL,135
06-Apr-17,NHS TAYSIDE,PERTH ROYAL INFIRMARY,49
06-Apr-17,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,6
06-Apr-17,NHS TAYSIDE,ST MARGARET'S HOSPITAL,1
06-Apr-17,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,21
06-Apr-17,NHS WESTERN ISLES,UIST & BARRA HOSPITAL,1
06-Apr-17,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,17
07-Apr-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,121
07-Apr-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,189
07-Apr-17,NHS BORDERS,BORDERS GENERAL HOSPITAL,70
07-Apr-17,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,94
07-Apr-17,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,25
07-Apr-17,NHS FIFE,ADAMSON HOSPITAL,11
07-Apr-17,NHS FIFE,QUEEN MARGARET HOSPITAL,47
07-Apr-17,NHS FIFE,VICTORIA HOSPITAL,171
07-Apr-17,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,167
07-Apr-17,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,40
07-Apr-17,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,140
07-Apr-17,NHS GRAMPIAN,DR GRAY'S HOSPITAL,61
07-Apr-17,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,34
07-Apr-17,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,226
07-Apr-17,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,88
07-Apr-17,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,75
07-Apr-17,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,262
07-Apr-17,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,179
07-Apr-17,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,149
07-Apr-17,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,53
07-Apr-17,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,51
07-Apr-17,NHS HIGHLAND,BELFORD HOSPITAL,25
07-Apr-17,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,19
07-Apr-17,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,12
07-Apr-17,NHS HIGHLAND,RAIGMORE HOSPITAL,82
07-Apr-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL HAIRMYRES,183
07-Apr-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL MONKLANDS ,184
07-Apr-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL WISHAW ,175
07-Apr-17,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),145
07-Apr-17,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,318
07-Apr-17,NHS LOTHIAN,ST JOHN'S HOSPITAL,127
07-Apr-17,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,133
07-Apr-17,NHS ORKNEY,BALFOUR HOSPITAL,16
07-Apr-17,NHS SHETLAND,GILBERT BAIN HOSPITAL,19
07-Apr-17,NHS TAYSIDE,ARBROATH INFIRMARY,36
07-Apr-17,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,9
07-Apr-17,NHS TAYSIDE,BRECHIN INFIRMARY,7
07-Apr-17,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,5
07-Apr-17,NHS TAYSIDE,LINKS HEALTH CENTRE,17
07-Apr-17,NHS TAYSIDE,NINEWELLS HOSPITAL,108
07-Apr-17,NHS TAYSIDE,PERTH ROYAL INFIRMARY,66
07-Apr-17,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,9
07-Apr-17,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,16
07-Apr-17,NHS WESTERN ISLES,UIST & BARRA HOSPITAL,6
07-Apr-17,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,18
08-Apr-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,121
08-Apr-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,186
08-Apr-17,NHS BORDERS,BORDERS GENERAL HOSPITAL,94
08-Apr-17,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,89
08-Apr-17,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,42
08-Apr-17,NHS FIFE,QUEEN MARGARET HOSPITAL,51
08-Apr-17,NHS FIFE,VICTORIA HOSPITAL,186
08-Apr-17,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,192
08-Apr-17,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,50
08-Apr-17,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,165
08-Apr-17,NHS GRAMPIAN,DR GRAY'S HOSPITAL,76
08-Apr-17,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,39
08-Apr-17,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,264
08-Apr-17,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,85
08-Apr-17,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,49
08-Apr-17,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,253
08-Apr-17,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,171
08-Apr-17,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,171
08-Apr-17,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,59
08-Apr-17,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,33
08-Apr-17,NHS HIGHLAND,BELFORD HOSPITAL,30
08-Apr-17,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,23
08-Apr-17,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,20
08-Apr-17,NHS HIGHLAND,RAIGMORE HOSPITAL,100
08-Apr-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL HAIRMYRES,158
08-Apr-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL MONKLANDS ,162
08-Apr-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL WISHAW ,167
08-Apr-17,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),143
08-Apr-17,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,316
08-Apr-17,NHS LOTHIAN,ST JOHN'S HOSPITAL,141
08-Apr-17,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,114
08-Apr-17,NHS ORKNEY,BALFOUR HOSPITAL,12
08-Apr-17,NHS SHETLAND,GILBERT BAIN HOSPITAL,26
08-Apr-17,NHS TAYSIDE,ARBROATH INFIRMARY,41
08-Apr-17,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,5
08-Apr-17,NHS TAYSIDE,BRECHIN INFIRMARY,12
08-Apr-17,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,7
08-Apr-17,NHS TAYSIDE,LINKS HEALTH CENTRE,26
08-Apr-17,NHS TAYSIDE,NINEWELLS HOSPITAL,139
08-Apr-17,NHS TAYSIDE,PERTH ROYAL INFIRMARY,80
08-Apr-17,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,11
08-Apr-17,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,24
08-Apr-17,NHS WESTERN ISLES,UIST & BARRA HOSPITAL,4
08-Apr-17,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,17
09-Apr-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,122
09-Apr-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,216
09-Apr-17,NHS BORDERS,BORDERS GENERAL HOSPITAL,108
09-Apr-17,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,102
09-Apr-17,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,35
09-Apr-17,NHS FIFE,QUEEN MARGARET HOSPITAL,55
09-Apr-17,NHS FIFE,VICTORIA HOSPITAL,212
09-Apr-17,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,194
09-Apr-17,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,46
09-Apr-17,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,195
09-Apr-17,NHS GRAMPIAN,DR GRAY'S HOSPITAL,86
09-Apr-17,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,51
09-Apr-17,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,264
09-Apr-17,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,103
09-Apr-17,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,89
09-Apr-17,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,274
09-Apr-17,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,190
09-Apr-17,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,160
09-Apr-17,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,46
09-Apr-17,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,39
09-Apr-17,NHS HIGHLAND,BELFORD HOSPITAL,25
09-Apr-17,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,15
09-Apr-17,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,21
09-Apr-17,NHS HIGHLAND,RAIGMORE HOSPITAL,94
09-Apr-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL HAIRMYRES,187
09-Apr-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL MONKLANDS ,174
09-Apr-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL WISHAW ,198
09-Apr-17,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),146
09-Apr-17,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,355
09-Apr-17,NHS LOTHIAN,ST JOHN'S HOSPITAL,159
09-Apr-17,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,109
09-Apr-17,NHS ORKNEY,BALFOUR HOSPITAL,19
09-Apr-17,NHS SHETLAND,GILBERT BAIN HOSPITAL,26
09-Apr-17,NHS TAYSIDE,ARBROATH INFIRMARY,46
09-Apr-17,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,10
09-Apr-17,NHS TAYSIDE,BRECHIN INFIRMARY,7
09-Apr-17,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,3
09-Apr-17,NHS TAYSIDE,LINKS HEALTH CENTRE,16
09-Apr-17,NHS TAYSIDE,NINEWELLS HOSPITAL,155
09-Apr-17,NHS TAYSIDE,PERTH ROYAL INFIRMARY,80
09-Apr-17,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,8
09-Apr-17,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,21
09-Apr-17,NHS WESTERN ISLES,UIST & BARRA HOSPITAL,1
09-Apr-17,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,17
10-Apr-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,133
10-Apr-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,209
10-Apr-17,NHS BORDERS,BORDERS GENERAL HOSPITAL,81
10-Apr-17,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,112
10-Apr-17,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,31
10-Apr-17,NHS FIFE,ADAMSON HOSPITAL,11
10-Apr-17,NHS FIFE,QUEEN MARGARET HOSPITAL,63
10-Apr-17,NHS FIFE,VICTORIA HOSPITAL,176
10-Apr-17,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,213
10-Apr-17,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,67
10-Apr-17,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,165
10-Apr-17,NHS GRAMPIAN,DR GRAY'S HOSPITAL,66
10-Apr-17,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,39
10-Apr-17,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,294
10-Apr-17,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,111
10-Apr-17,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,109
10-Apr-17,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,276
10-Apr-17,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,185
10-Apr-17,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,176
10-Apr-17,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,72
10-Apr-17,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,46
10-Apr-17,NHS HIGHLAND,BELFORD HOSPITAL,26
10-Apr-17,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,20
10-Apr-17,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,20
10-Apr-17,NHS HIGHLAND,RAIGMORE HOSPITAL,134
10-Apr-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL HAIRMYRES,191
10-Apr-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL MONKLANDS ,207
10-Apr-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL WISHAW ,211
10-Apr-17,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),138
10-Apr-17,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,347
10-Apr-17,NHS LOTHIAN,ST JOHN'S HOSPITAL,192
10-Apr-17,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,162
10-Apr-17,NHS ORKNEY,BALFOUR HOSPITAL,18
10-Apr-17,NHS SHETLAND,GILBERT BAIN HOSPITAL,25
10-Apr-17,NHS TAYSIDE,ARBROATH INFIRMARY,43
10-Apr-17,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,11
10-Apr-17,NHS TAYSIDE,BRECHIN INFIRMARY,9
10-Apr-17,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,6
10-Apr-17,NHS TAYSIDE,LINKS HEALTH CENTRE,19
10-Apr-17,NHS TAYSIDE,NINEWELLS HOSPITAL,148
10-Apr-17,NHS TAYSIDE,PERTH ROYAL INFIRMARY,77
10-Apr-17,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,10
10-Apr-17,NHS TAYSIDE,ST MARGARET'S HOSPITAL,1
10-Apr-17,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,18
10-Apr-17,NHS WESTERN ISLES,UIST & BARRA HOSPITAL,7
10-Apr-17,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,17
11-Apr-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,137
11-Apr-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,168
11-Apr-17,NHS BORDERS,BORDERS GENERAL HOSPITAL,75
11-Apr-17,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,113
11-Apr-17,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,31
11-Apr-17,NHS FIFE,ADAMSON HOSPITAL,3
11-Apr-17,NHS FIFE,QUEEN MARGARET HOSPITAL,51
11-Apr-17,NHS FIFE,VICTORIA HOSPITAL,165
11-Apr-17,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,161
11-Apr-17,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,40
11-Apr-17,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,130
11-Apr-17,NHS GRAMPIAN,DR GRAY'S HOSPITAL,52
11-Apr-17,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,35
11-Apr-17,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,263
11-Apr-17,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,91
11-Apr-17,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,93
11-Apr-17,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,263
11-Apr-17,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,177
11-Apr-17,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,158
11-Apr-17,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,52
11-Apr-17,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,53
11-Apr-17,NHS HIGHLAND,BELFORD HOSPITAL,20
11-Apr-17,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,23
11-Apr-17,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,24
11-Apr-17,NHS HIGHLAND,RAIGMORE HOSPITAL,122
11-Apr-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL HAIRMYRES,169
11-Apr-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL MONKLANDS ,192
11-Apr-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL WISHAW ,190
11-Apr-17,NHS LOTHIAN,ROYAL HOSPITAL FOR SICK CHILDREN (EDINBURGH),127
11-Apr-17,NHS LOTHIAN,ROYAL INFIRMARY OF EDINBURGH AT LITTLE FRANCE,318
11-Apr-17,NHS LOTHIAN,ST JOHN'S HOSPITAL,153
11-Apr-17,NHS LOTHIAN,WESTERN GENERAL HOSPITAL,138
11-Apr-17,NHS ORKNEY,BALFOUR HOSPITAL,18
11-Apr-17,NHS SHETLAND,GILBERT BAIN HOSPITAL,12
11-Apr-17,NHS TAYSIDE,ARBROATH INFIRMARY,24
11-Apr-17,NHS TAYSIDE,BLAIRGOWRIE & RATTRAY COTTAGE HOSPITAL,8
11-Apr-17,NHS TAYSIDE,BRECHIN INFIRMARY,11
11-Apr-17,NHS TAYSIDE,CRIEFF COMMUNITY HOSPITAL,2
11-Apr-17,NHS TAYSIDE,LINKS HEALTH CENTRE,12
11-Apr-17,NHS TAYSIDE,NINEWELLS HOSPITAL,133
11-Apr-17,NHS TAYSIDE,PERTH ROYAL INFIRMARY,64
11-Apr-17,NHS TAYSIDE,PITLOCHRY COMMUNITY HOSPITAL,5
11-Apr-17,NHS TAYSIDE,ST MARGARET'S HOSPITAL,1
11-Apr-17,NHS TAYSIDE,WHITEHILLS HEALTH AND COMMUNITY CARE CENTRE,5
11-Apr-17,NHS WESTERN ISLES,UIST & BARRA HOSPITAL,2
11-Apr-17,NHS WESTERN ISLES,WESTERN ISLES HOSPITAL,12
12-Apr-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL AYR,131
12-Apr-17,NHS AYRSHIRE & ARRAN,UNIVERSITY HOSPITAL CROSSHOUSE,163
12-Apr-17,NHS BORDERS,BORDERS GENERAL HOSPITAL,78
12-Apr-17,NHS DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY ROYAL INFIRMARY,104
12-Apr-17,NHS DUMFRIES & GALLOWAY,GALLOWAY COMMUNITY HOSPITAL,27
12-Apr-17,NHS DUMFRIES & GALLOWAY,NEWTON STEWART HOSPITAL,1
12-Apr-17,NHS FIFE,ADAMSON HOSPITAL,9
12-Apr-17,NHS FIFE,QUEEN MARGARET HOSPITAL,64
12-Apr-17,NHS FIFE,VICTORIA HOSPITAL,165
12-Apr-17,NHS FORTH VALLEY,FORTH VALLEY ROYAL HOSPITAL,159
12-Apr-17,NHS FORTH VALLEY,STIRLING COMMUNITY HOSPITAL,47
12-Apr-17,NHS GRAMPIAN,ABERDEEN ROYAL INFIRMARY,146
12-Apr-17,NHS GRAMPIAN,DR GRAY'S HOSPITAL,74
12-Apr-17,NHS GRAMPIAN,ROYAL ABERDEEN CHILDREN'S HOSPITAL,40
12-Apr-17,NHS GREATER GLASGOW & CLYDE,GLASGOW ROYAL INFIRMARY,234
12-Apr-17,NHS GREATER GLASGOW & CLYDE,INVERCLYDE ROYAL HOSPITAL,83
12-Apr-17,NHS GREATER GLASGOW & CLYDE,NEW VICTORIA HOSPITAL,104
12-Apr-17,NHS GREATER GLASGOW & CLYDE,QUEEN ELIZABETH UNIVERSITY HOSPITAL,270
12-Apr-17,NHS GREATER GLASGOW & CLYDE,ROYAL ALEXANDRA HOSPITAL,165
12-Apr-17,NHS GREATER GLASGOW & CLYDE,ROYAL HOSPITAL FOR CHILDREN,129
12-Apr-17,NHS GREATER GLASGOW & CLYDE,STOBHILL HOSPITAL,52
12-Apr-17,NHS GREATER GLASGOW & CLYDE,VALE OF LEVEN GENERAL HOSPITAL,54
12-Apr-17,NHS HIGHLAND,BELFORD HOSPITAL,24
12-Apr-17,NHS HIGHLAND,CAITHNESS GENERAL HOSPITAL,15
12-Apr-17,NHS HIGHLAND,LORN & ISLANDS HOSPITAL,21
12-Apr-17,NHS HIGHLAND,RAIGMORE HOSPITAL,90
12-Apr-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL HAIRMYRES,178
12-Apr-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL MONKLANDS ,183
12-Apr-17,NHS LANARKSHIRE,UNIVERSITY HOSPITAL WISHAW ,164
